time,dt,open,high,low,close,volume
1750953600,2025-06-26 16:00:00+00:00,2432.35,2436.45,2417.05,2427.2,831830.0
1750957200,2025-06-26 17:00:00+00:00,2427.2,2435.35,2418.35,2419.7,712733.0
1750960800,2025-06-26 18:00:00+00:00,2420.0,2437.9,2417.15,2424.9,788108.0
1750964400,2025-06-26 19:00:00+00:00,2424.95,2442.55,2421.75,2435.05,486607.0
1750968000,2025-06-26 20:00:00+00:00,2434.05,2456.95,2429.45,2444.6,507131.0
1750971600,2025-06-26 21:00:00+00:00,2444.9,2444.9,2393.3,2413.55,717838.0
1750975200,2025-06-26 22:00:00+00:00,2413.0,2424.0,2410.9,2412.85,181729.0
1750978800,2025-06-26 23:00:00+00:00,2412.95,2416.75,2405.0,2415.45,154306.0
1750982400,2025-06-27 00:00:00+00:00,2414.45,2420.9,2399.2,2399.75,286113.0
1750986000,2025-06-27 01:00:00+00:00,2399.75,2431.4,2379.75,2425.7,747752.0
1750989600,2025-06-27 02:00:00+00:00,2425.75,2439.7,2422.85,2437.2,412936.0
1750993200,2025-06-27 03:00:00+00:00,2437.95,2448.35,2431.9,2446.25,423246.0
1750996800,2025-06-27 04:00:00+00:00,2446.35,2452.8,2438.75,2449.0,603848.0
1751000400,2025-06-27 05:00:00+00:00,2449.0,2452.2,2433.8,2438.7,647447.0
1751004000,2025-06-27 06:00:00+00:00,2438.7,2449.9,2435.85,2447.55,562430.0
1751007600,2025-06-27 07:00:00+00:00,2447.65,2459.15,2436.85,2441.7,848303.0
1751011200,2025-06-27 08:00:00+00:00,2441.6,2464.05,2434.5,2447.75,1050823.0
1751014800,2025-06-27 09:00:00+00:00,2447.85,2463.25,2441.5,2460.0,691520.0
1751018400,2025-06-27 10:00:00+00:00,2460.1,2461.25,2445.05,2445.45,648897.0
1751022000,2025-06-27 11:00:00+00:00,2445.2,2454.4,2441.65,2446.9,567782.0
1751025600,2025-06-27 12:00:00+00:00,2446.8,2456.7,2425.9,2429.3,1361213.0
1751029200,2025-06-27 13:00:00+00:00,2429.1,2436.15,2416.15,2427.4,1458157.0
1751032800,2025-06-27 14:00:00+00:00,2427.4,2437.75,2413.05,2422.8,1221871.0
1751036400,2025-06-27 15:00:00+00:00,2422.4,2442.45,2418.7,2438.0,1126327.0
1751040000,2025-06-27 16:00:00+00:00,2438.15,2448.95,2430.95,2432.7,1221069.0
1751043600,2025-06-27 17:00:00+00:00,2432.65,2433.15,2394.4,2403.9,2069863.0
1751047200,2025-06-27 18:00:00+00:00,2403.9,2408.1,2387.4,2394.25,1258562.0
1751050800,2025-06-27 19:00:00+00:00,2394.25,2416.95,2391.35,2412.0,830791.0
1751054400,2025-06-27 20:00:00+00:00,2412.15,2427.55,2410.7,2425.95,472625.0
1751058000,2025-06-27 21:00:00+00:00,2425.95,2429.2,2416.45,2419.35,215904.0
1751061600,2025-06-27 22:00:00+00:00,2419.4,2424.65,2419.0,2422.05,90407.0
1751065200,2025-06-27 23:00:00+00:00,2421.65,2423.95,2414.6,2422.25,116203.0
1751068800,2025-06-28 00:00:00+00:00,2422.4,2423.6,2416.55,2417.7,118843.0
1751072400,2025-06-28 01:00:00+00:00,2417.25,2419.7,2405.55,2417.2,329287.0
1751076000,2025-06-28 02:00:00+00:00,2417.6,2422.35,2414.1,2418.2,278942.0
1751079600,2025-06-28 03:00:00+00:00,2418.25,2422.2,2415.6,2420.25,192708.0
1751083200,2025-06-28 04:00:00+00:00,2420.25,2421.35,2417.0,2420.5,135248.0
1751086800,2025-06-28 05:00:00+00:00,2420.6,2428.45,2417.65,2421.4,500950.0
1751090400,2025-06-28 06:00:00+00:00,2421.5,2427.2,2421.15,2426.65,313549.0
1751094000,2025-06-28 07:00:00+00:00,2426.65,2433.4,2423.25,2430.95,460566.0
1751097600,2025-06-28 08:00:00+00:00,2431.05,2431.7,2418.8,2423.8,621452.0
1751101200,2025-06-28 09:00:00+00:00,2423.6,2428.15,2418.95,2426.0,349483.0
1751104800,2025-06-28 10:00:00+00:00,2426.1,2429.5,2423.3,2425.65,311678.0
1751108400,2025-06-28 11:00:00+00:00,2425.65,2428.25,2425.6,2426.65,200867.0
1751112000,2025-06-28 12:00:00+00:00,2426.9,2427.65,2421.6,2425.4,245740.0
1751115600,2025-06-28 13:00:00+00:00,2425.4,2428.6,2419.05,2422.3,314806.0
1751119200,2025-06-28 14:00:00+00:00,2422.2,2427.35,2421.85,2425.4,245723.0
1751122800,2025-06-28 15:00:00+00:00,2425.4,2442.3,2422.6,2435.6,594766.0
1751126400,2025-06-28 16:00:00+00:00,2435.5,2443.15,2430.95,2434.35,877891.0
1751130000,2025-06-28 17:00:00+00:00,2434.25,2447.55,2432.7,2443.6,616019.0
1751133600,2025-06-28 18:00:00+00:00,2443.6,2444.3,2432.0,2436.85,468515.0
1751137200,2025-06-28 19:00:00+00:00,2436.75,2440.0,2431.65,2432.8,223155.0
1751140800,2025-06-28 20:00:00+00:00,2432.75,2434.5,2426.5,2428.95,242076.0
1751144400,2025-06-28 21:00:00+00:00,2428.8,2437.65,2428.5,2435.4,73181.0
1751148000,2025-06-28 22:00:00+00:00,2436.0,2441.15,2433.45,2439.45,79471.0
1751151600,2025-06-28 23:00:00+00:00,2440.0,2441.9,2434.2,2435.15,66671.0
1751155200,2025-06-29 00:00:00+00:00,2435.2,2442.25,2431.15,2438.2,117124.0
1751158800,2025-06-29 01:00:00+00:00,2438.1,2438.35,2427.45,2429.15,162998.0
1751162400,2025-06-29 02:00:00+00:00,2429.15,2433.0,2423.5,2431.3,249664.0
1751166000,2025-06-29 03:00:00+00:00,2431.5,2432.7,2426.25,2427.15,142902.0
1751169600,2025-06-29 04:00:00+00:00,2427.35,2430.95,2425.7,2429.25,139122.0
1751173200,2025-06-29 05:00:00+00:00,2429.35,2434.3,2426.25,2433.1,323305.0
1751176800,2025-06-29 06:00:00+00:00,2433.25,2437.25,2431.75,2436.2,223127.0
1751180400,2025-06-29 07:00:00+00:00,2436.35,2440.15,2434.45,2440.0,290334.0
1751184000,2025-06-29 08:00:00+00:00,2440.0,2447.0,2437.5,2443.2,521463.0
1751187600,2025-06-29 09:00:00+00:00,2443.0,2457.45,2438.1,2447.45,1039911.0
1751191200,2025-06-29 10:00:00+00:00,2447.45,2458.5,2446.5,2455.85,709062.0
1751194800,2025-06-29 11:00:00+00:00,2456.0,2463.0,2452.3,2461.35,639206.0
1751198400,2025-06-29 12:00:00+00:00,2461.35,2462.55,2448.65,2453.9,693878.0
1751202000,2025-06-29 13:00:00+00:00,2453.9,2456.05,2445.65,2446.45,495608.0
1751205600,2025-06-29 14:00:00+00:00,2446.5,2451.4,2435.3,2439.4,889968.0
1751209200,2025-06-29 15:00:00+00:00,2439.25,2444.0,2431.8,2435.8,549161.0
1751212800,2025-06-29 16:00:00+00:00,2435.8,2439.6,2428.65,2438.35,792250.0
1751216400,2025-06-29 17:00:00+00:00,2438.35,2440.15,2431.65,2438.35,430772.0
1751220000,2025-06-29 18:00:00+00:00,2438.4,2442.5,2433.3,2437.3,365366.0
1751223600,2025-06-29 19:00:00+00:00,2437.25,2438.8,2432.65,2437.35,225504.0
1751227200,2025-06-29 20:00:00+00:00,2437.45,2438.45,2431.4,2431.4,122756.0
1751230800,2025-06-29 21:00:00+00:00,2431.75,2438.05,2410.15,2430.85,556084.0
1751234400,2025-06-29 22:00:00+00:00,2431.0,2510.4,2429.9,2501.45,919120.0
1751238000,2025-06-29 23:00:00+00:00,2502.0,2524.8,2494.25,2499.9,546723.0
1751241600,2025-06-30 00:00:00+00:00,2499.65,2523.7,2499.45,2518.25,512893.0
1751245200,2025-06-30 01:00:00+00:00,2518.35,2519.35,2504.1,2510.25,550781.0
1751248800,2025-06-30 02:00:00+00:00,2510.4,2511.05,2498.65,2500.95,448282.0
1751252400,2025-06-30 03:00:00+00:00,2501.0,2504.2,2494.5,2498.85,412352.0
1751256000,2025-06-30 04:00:00+00:00,2498.95,2505.0,2494.6,2495.3,396633.0
1751259600,2025-06-30 05:00:00+00:00,2495.15,2502.85,2491.95,2502.5,457209.0
1751263200,2025-06-30 06:00:00+00:00,2502.5,2503.5,2455.45,2463.55,1371925.0
1751266800,2025-06-30 07:00:00+00:00,2463.4,2483.25,2459.65,2480.05,969818.0
1751270400,2025-06-30 08:00:00+00:00,2480.05,2486.6,2465.45,2468.3,768738.0
1751274000,2025-06-30 09:00:00+00:00,2468.35,2476.65,2450.35,2450.95,829264.0
1751277600,2025-06-30 10:00:00+00:00,2450.95,2457.3,2445.8,2455.5,739790.0
1751281200,2025-06-30 11:00:00+00:00,2455.2,2467.25,2452.1,2457.55,818566.0
1751284800,2025-06-30 12:00:00+00:00,2457.55,2464.5,2456.25,2459.25,503733.0
1751288400,2025-06-30 13:00:00+00:00,2459.2,2474.0,2457.25,2461.75,1191847.0
1751292000,2025-06-30 14:00:00+00:00,2461.65,2469.15,2433.15,2438.25,1982906.0
1751295600,2025-06-30 15:00:00+00:00,2438.15,2488.05,2434.95,2474.05,2307894.0
1751299200,2025-06-30 16:00:00+00:00,2474.05,2481.55,2461.0,2474.65,1488420.0
1751302800,2025-06-30 17:00:00+00:00,2474.7,2497.85,2472.9,2487.1,1293048.0
1751306400,2025-06-30 18:00:00+00:00,2486.85,2499.0,2478.7,2485.35,1473691.0
1751310000,2025-06-30 19:00:00+00:00,2485.3,2518.0,2484.05,2516.3,1306587.0
1751313600,2025-06-30 20:00:00+00:00,2515.35,2521.9,2501.25,2502.7,771908.0
1751317200,2025-06-30 21:00:00+00:00,2502.7,2504.35,2481.65,2487.25,454367.0
1751320800,2025-06-30 22:00:00+00:00,2487.35,2495.45,2484.0,2489.6,288078.0
1751324400,2025-06-30 23:00:00+00:00,2490.1,2494.2,2483.9,2484.75,183897.0
1751328000,2025-07-01 00:00:00+00:00,2484.75,2495.9,2476.65,2492.2,414574.0
1751331600,2025-07-01 01:00:00+00:00,2492.3,2500.0,2485.85,2488.0,366908.0
1751335200,2025-07-01 02:00:00+00:00,2487.65,2495.0,2481.55,2482.8,316959.0
1751338800,2025-07-01 03:00:00+00:00,2483.15,2487.55,2478.05,2484.65,309761.0
1751342400,2025-07-01 04:00:00+00:00,2484.8,2485.2,2459.0,2460.45,690842.0
1751346000,2025-07-01 05:00:00+00:00,2460.5,2466.1,2450.2,2460.5,933499.0
1751349600,2025-07-01 06:00:00+00:00,2460.25,2462.0,2455.5,2458.55,323790.0
1751353200,2025-07-01 07:00:00+00:00,2458.8,2468.35,2444.45,2464.15,991147.0
1751356800,2025-07-01 08:00:00+00:00,2464.45,2464.45,2450.55,2452.75,569401.0
1751360400,2025-07-01 09:00:00+00:00,2452.65,2458.15,2449.5,2456.5,454845.0
1751364000,2025-07-01 10:00:00+00:00,2456.25,2461.15,2448.65,2455.35,561976.0
1751367600,2025-07-01 11:00:00+00:00,2455.35,2458.45,2441.55,2448.65,750646.0
1751371200,2025-07-01 12:00:00+00:00,2448.65,2452.85,2434.0,2436.8,988283.0
1751374800,2025-07-01 13:00:00+00:00,2436.6,2446.55,2423.25,2442.4,1527453.0
1751378400,2025-07-01 14:00:00+00:00,2442.45,2456.0,2406.0,2418.95,2564649.0
1751382000,2025-07-01 15:00:00+00:00,2418.8,2431.2,2415.35,2422.9,1271514.0
1751385600,2025-07-01 16:00:00+00:00,2422.9,2430.5,2418.3,2423.9,837110.0
1751389200,2025-07-01 17:00:00+00:00,2423.65,2433.75,2417.1,2431.55,931208.0
1751392800,2025-07-01 18:00:00+00:00,2431.7,2432.8,2400.3,2409.65,1033660.0
1751396400,2025-07-01 19:00:00+00:00,2409.55,2421.6,2401.3,2402.1,828946.0
1751400000,2025-07-01 20:00:00+00:00,2401.95,2417.9,2393.25,2414.45,699834.0
1751403600,2025-07-01 21:00:00+00:00,2414.1,2417.95,2403.05,2406.75,283832.0
1751407200,2025-07-01 22:00:00+00:00,2405.85,2412.7,2398.3,2400.05,184337.0
1751410800,2025-07-01 23:00:00+00:00,2399.9,2405.5,2383.7,2404.1,331821.0
1751414400,2025-07-02 00:00:00+00:00,2404.2,2409.35,2396.95,2397.8,253782.0
1751418000,2025-07-02 01:00:00+00:00,2397.95,2410.9,2372.0,2410.5,732759.0
1751421600,2025-07-02 02:00:00+00:00,2410.5,2418.4,2406.45,2417.4,396706.0
1751425200,2025-07-02 03:00:00+00:00,2417.4,2431.95,2415.6,2429.65,503749.0
1751428800,2025-07-02 04:00:00+00:00,2429.55,2441.25,2424.75,2438.9,586638.0
1751432400,2025-07-02 05:00:00+00:00,2438.95,2446.5,2433.6,2443.6,695364.0
