strategy,tf,trades,net_%,win_%,avg_win/avg_loss,profit_factor,max_dd_%,sharpe,expectancy_%,long_n,short_n,long_net_%,short_net_%
EMA 9/21 cross,1m,25076,-100.0,27.27,2.54,0.95,100.0,-22.95,-0.01,12538,12538,-57.16,-46.99
EMA 20/50 cross,1m,10962,-99.74,26.28,2.73,0.97,99.77,-8.14,-0.0,5481,5481,-38.25,-21.03
EMA 50/200 cross,1m,3486,-48.39,24.7,3.22,1.06,63.44,-0.63,0.02,1743,1743,6.01,34.09
VWAP reclaim/reject,1m,7182,-57.68,33.76,2.0,1.02,62.3,-2.81,0.0,3613,3569,3.42,8.07
"Supertrend 10,3",1m,16811,-100.0,33.7,1.83,0.93,100.0,-27.65,-0.01,8405,8406,-66.67,-58.65
"Supertrend 7,2",1m,30241,-100.0,33.97,1.79,0.92,100.0,-43.87,-0.01,15120,15121,-78.76,-73.71
"Supertrend 14,3",1m,16803,-100.0,34.27,1.82,0.95,100.0,-27.04,-0.01,8401,8402,-57.43,-47.14
Range breakout 20 (vol),1m,22779,-97.42,32.63,2.01,0.97,97.58,-5.97,-0.0,11114,11665,-52.58,2.11
Range breakout 50 (vol),1m,14636,-90.68,32.48,2.02,0.97,91.23,-4.55,-0.0,7162,7474,-43.74,7.76
Prev-day H/L breakout,1m,1715,-25.34,33.64,1.99,1.01,27.98,-1.32,0.0,828,887,3.4,-2.68
Opening-range breakout,1m,5838,-58.55,33.98,2.01,1.03,59.38,-3.18,0.0,2907,2931,3.61,14.48
RSI MR (rsi2),1m,50560,-99.98,42.21,1.42,1.03,99.98,-11.83,0.0,25156,25404,23.33,213.29
RSI MR (rsi7),1m,31737,-99.88,42.62,1.43,1.06,99.89,-11.4,0.01,15971,15766,92.49,172.67
RSI MR (rsi14),1m,10895,-96.97,43.07,1.42,1.07,96.98,-8.5,0.01,5643,5252,35.75,53.53
Bollinger reversal,1m,27188,-99.32,42.85,1.4,1.05,99.39,-8.92,0.0,13984,13204,35.59,141.82
VWAP dev 1.5σ,1m,10002,-89.32,42.37,1.42,1.04,89.73,-7.1,0.0,5027,4975,4.65,33.57
VWAP dev 2.0σ,1m,8475,-80.15,43.37,1.42,1.09,82.58,-5.13,0.01,4249,4226,43.57,32.21
Volume-spike continuation,1m,21467,-98.89,33.03,1.95,0.96,98.96,-7.75,-0.0,10480,10987,-43.99,-23.79
Volume-exhaustion reversal,1m,3,-4.77,0.0,,0.0,4.77,-1.68,-0.78,2,1,-2.07,-0.25
ATR breakout (1×),1m,25267,-100.0,28.07,2.74,1.07,100.0,-29.9,0.01,12475,12792,105.27,108.19
